id,stage,parent,entry_fill,min_candle_pos,green_only,rel_vol,min_rr,early_pct,be_arm_r,trail_pct,sizing,rotation,passes,train_total_return_pct,val_total_return_pct,train_cagr,val_cagr,train_max_drawdown_pct,val_max_drawdown_pct,train_win_rate,val_win_rate,train_profit_factor,val_profit_factor,train_num_trades,val_num_trades,train_avg_holding_days,val_avg_holding_days,train_n_target_hit,val_n_target_hit,train_n_stop_hit,val_n_stop_hit
B093,B,A084,close,0.5,True,gt_prev,1.0,,,12.0,fixed2L,none,False,-33.01004541987857,-11.819573742019385,-10.850734717380695,-8.041946533751176,42.53407740373134,20.137871045978326,0.3471502590673575,0.40350877192982454,0.6358619890498395,0.7546091986437101,193,114,27.27979274611399,36.86842105263158,54,29,68,16
B094,B,A084,close,0.5,True,gt_prev,1.0,,1.0,,fixed2L,none,False,-26.608604668960613,6.812267164084451,-8.487362028341316,4.490402769029211,41.52719495874418,17.676833523630243,0.38333333333333336,0.46875,0.7231780340138517,1.2048336730536395,180,64,36.85,79.640625,64,27,100,22
B095,B,A084,close,0.5,True,gt_prev,1.0,,1.0,8.0,fixed2L,none,False,-32.929311356708304,-5.600642789153576,-10.819945467436254,-3.7686678633161885,38.63013291428495,15.758213303987931,0.3141592920353982,0.36363636363636365,0.6085641534979674,0.893172142191965,226,176,17.951327433628318,21.119318181818183,45,33,36,11
B096,B,A084,close,0.5,True,gt_prev,1.0,,1.0,12.0,fixed2L,none,False,-35.095065934318114,-12.208067779590914,-11.655223787716851,-8.312175031724001,44.73613428967559,20.489811096396142,0.336734693877551,0.391304347826087,0.6233022653999544,0.7438084524622598,196,115,26.744897959183675,36.29565217391304,54,28,70,16
B097,B,A084,close,0.5,True,gt_prev,1.0,60.0,,,fixed2L,none,False,-27.578410190743064,-6.587896921784542,-8.835698423176929,-4.4406323233615925,41.725459216824156,21.88066774826686,0.5071090047393365,0.5545454545454546,0.7288614517787203,0.8874672983808083,211,110,23.298578199052134,43.627272727272725,7,3,103,40
B098,B,A084,close,0.5,True,gt_prev,1.0,60.0,,8.0,fixed2L,none,False,-24.575396150472738,-8.186147605748372,-7.767592372191823,-5.533509644559576,31.995649193081082,15.560433128148537,0.41911764705882354,0.4474885844748858,0.7537552084249913,0.8826278838328719,272,219,13.547794117647058,15.908675799086758,8,3,41,16
B099,B,A084,close,0.5,True,gt_prev,1.0,60.0,,12.0,fixed2L,none,False,-25.04757005976206,0.7518445434000709,-7.933499612859829,0.5004892330867872,34.89048777877647,13.378257101981179,0.48497854077253216,0.5119047619047619,0.7525393988715935,1.0104494530259578,233,168,19.660944206008583,25.803571428571427,8,3,72,26
B100,B,A084,close,0.5,True,gt_prev,1.0,60.0,1.0,,fixed2L,none,False,-27.578410190743064,-6.587896921784542,-8.835698423176929,-4.4406323233615925,41.725459216824156,21.88066774826686,0.5071090047393365,0.5545454545454546,0.7288614517787203,0.8874672983808083,211,110,23.298578199052134,43.627272727272725,7,3,103,40
B101,B,A084,close,0.5,True,gt_prev,1.0,60.0,1.0,8.0,fixed2L,none,False,-24.575396150472738,-8.186147605748372,-7.767592372191823,-5.533509644559576,31.995649193081082,15.560433128148537,0.41911764705882354,0.4474885844748858,0.7537552084249913,0.8826278838328719,272,219,13.547794117647058,15.908675799086758,8,3,41,16
B102,B,A084,close,0.5,True,gt_prev,1.0,60.0,1.0,12.0,fixed2L,none,False,-25.04757005976206,0.7518445434000709,-7.933499612859829,0.5004892330867872,34.89048777877647,13.378257101981179,0.48497854077253216,0.5119047619047619,0.7525393988715935,1.0104494530259578,233,168,19.660944206008583,25.803571428571427,8,3,72,26
